Usuelle;UsualScale;Maj;1;2;3;4;5;6;7;Fin;
MinH;UsualScale;MinH;1;2;b3;4;5;b6;7;Fin;
MinH;UsualScale;Locrien B13;1;b2;b3;4;#4;b6;b7;Fin;
MinH;UsualScale;Ionien 5#;1;2;3;4;#5;6;7;Fin;
MinH;UsualScale;Dorien 11#;1;2;b3;b5;5;6;b7;Fin;
MinH;UsualScale;Mixolydien b9b13;1;2;3;4;5;b6;b7;Fin;
MinH;UsualScale;Lydien 9#;1;b3;3;b5;5;6;7;Fin;
MinH;UsualScale;Altéré bb7;1;b2;b3;3;b5;b6;6;Fin;
MinM;UsualScale;MinM;1;2;b3;4;5;6;7;Fin;
MinM;UsualScale;Dorien b9;1;b2;b3;4;5;6;b7;Fin;
MinM;UsualScale;Lydien 5#;1;2;3;b5;b6;6;7;Fin;
MinM;UsualScale;Lydien b7;1;2;3;b5;5;6;b7;Fin;
MinM;UsualScale;Mixolydien b13;1;2;3;4;5;b6;b7;Fin;
MinM;UsualScale;Locrien B9 b5;1;2;b3;4;b5;b6;b7;Fin;
MinM;UsualScale;Altéré;1;b2;b3;3;b5;b6;b7;Fin;
Usuelle;UsualScale;MajH;1;2;3;4;5;b6;7;Fin;
Usuelle;UsualScale;PentaMin;1;b3;4;5;b7;Fin;
Usuelle;UsualScale;Blues;1;b3;4;#4;5;b7;Fin;
Usuelle;UsualScale;Blues2;1;2;b3;3;4;#4;5;6;b7;Fin;
EuropeEst;Mineur;Hongrois1;1;2;b3;#4;5;#5;7;Fin;
EuropeEst;MinMaj;Hongrois2;1;b3;3;#4;5;6;b7;Fin;
EuropeEst;MinMaj;Balkanique;1;b2;b3;4;5;b6;7;Fin;
EuropeEst;MinMaj;Tzigane;1;b2;3;#4;5;b6;7;Fin;
EuropeEst;MinMaj;Bertha;1;b2;b3;3;#4;5;6;b7;Fin;
Orient;Oriental;Oriental;1;b2;3;4;5;b6;7;Fin;
Orient;Arabie;Arabe;1;2;3;4;#4;#5;b7;Fin;
Orient;Espagne;Andalou;1;b2;3;4;5;b6;b7;Fin;
Grec;UsualScale;Ionien;1;2;3;4;5;6;7;Fin;
Grec;UsualScale;Dorien;1;2;b3;4;5;6;b7;Fin;
Grec;UsualScale;Phrygien;1;b2;b3;4;5;b6;b7;Fin;
Grec;UsualScale;Lydien;1;2;3;b5;5;6;7;Fin;
Grec;UsualScale;MixoLydien;1;2;3;4;5;6;b7;Fin;
Grec;UsualScale;Eolien;1;2;b3;4;5;b6;b7;Fin;
Grec;UsualScale;Locrien;1;b2;b3;4;#4;b6;b7;Fin;
